OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY,GlobalID,LAT,LON
1424,7160,6585,SACO,US,43.5,-70.45,CP01,13287,V,RN,F,Y,N,Y,Y,N,P,P,P, ,9,M, , ,N,N,N, ,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y,C, , ,5416bf27-1cfc-4857-aece-562e948b547d,43.5000000003998,-70.4500000002997
1425,7170,6585,KENNEBUNKPORT,US,43.366667,-70.466667,CP01,13286,V,RN,F,Y,N,Y,Y,N,P,P,P, ,9,M, , ,N,N,N, , , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,C, ,S,9b71a10f-0208-47dc-b326-c38f30438f00,43.3666666667334,-70.4666666663335
1426,7180,6585,PORTSMOUTH,US,43.083333,-70.75,CP01,13283,S,RN,G,N,N,N,Y,Y,K,C,K,K,8,L,Y,Y,Y,N,Y,Y, , , ,Y,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y, , ,N, ,Y, ,Y,Y,Y,Y, , , , , ,Y,Y,Y,Y,Y,Y,C, ,S,f608c3b6-2dd9-46c7-8460-521fb7fa1318,43.0833333333667,-70.7499999997002
1427,6670,6585,COREA,US,44.4,-67.966667,CP01,13324,V,CN,F,Y,Y,Y,Y,N,P,P,P, ,11,M,Y,Y,N,N,Y,N,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y,Y,Y, , , , , ,5bb006ae-d33e-46fb-bf1e-fe57230b71b2,44.4000000003997,-67.9666666668332
1428,6170,6070,GOLDSBORO,CA,45.183333,-61.65,145,14100,V,CN,G,N,N,Y,Y, ,M,M,N, ,4,M,Y,Y,N,N,N,N,N, , ,N,N,Y,Y, , , , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, ,Y, , , , , ,a7c4e30c-bf5e-48b7-bfe8-ed51ba5e81c5,45.1833333336665,-61.6499999999
1429,6190,6070,STORMONT,CA,45.216667,-61.716667,145,14100,V,CN,G,N,N,Y,Y, ,E,L,N, ,6, ,Y,Y,N,N,N,N,N, , ,N,N,Y,Y, , ,Y, , , , ,Y, , , , , , , ,N, , , , , , , , , , , , , , , , , , , , , ,e3cdd0ac-50d0-458a-9237-f621793dc4e1,45.2166666666334,-61.7166666667333
1430,6220,6070,SONORA,CA,45.066667,-61.916667,145,14100,V,RN,E,N,N,Y,Y, ,O,O,O, ,4,M,Y,N,N,N,N,N,N, , ,N,N,Y,Y, ,Y,Y, , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y, , , , , , , ,1d79427d-7193-494c-9c25-9ba414a5e134,45.0666666669332,-61.9166666663335
1431,6330,6070,MUSQUODOBOIT HARBOUR,CA,44.783333,-63.15,145,14083,V,CN,E,N,Y,N,Y, ,P, ,N, ,4,M,Y,N,N,N,N,N,N, , ,N,N,Y, , ,Y,Y, , , ,Y,Y, , , , , , , ,N, , , , , , , , , , , , ,Y, , , , , , , , ,ac651796-a02e-44a8-aaf1-af24d556d241,44.7833333335665,-63.1499999996003
1432,6340,6070,HALIFAX,CA,44.65,-63.583333,145,14089,L,CN,E,N,N,N,N,Y,C,H,F,G,2,L,Y,Y,Y,Y,Y,Y, , ,Y, ,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,A,M,L,38567eba-b350-412b-ad81-ec1d97319adb,44.6499999999001,-63.5833333335664
1433,6350,6070,SAMBRO,CA,44.466667,-63.6,145,14087,V,CN,P,N,N,N,Y, ,J,J,O, ,0,M,Y,Y,N,N,Y,N,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y, , , , , , , , ,2cfd2c18-c31b-4c33-a1db-f25a3f23fd89,44.4666666663337,-63.5999999996002
1434,6390,6070,LUNENBURG,CA,44.383333,-64.316667,145,14085,S,CN,E,N,N,N,Y, ,M,N,N, ,0,M,N,N,Y,N,Y,N,Y, ,Y,N,Y,Y,Y, ,Y,Y, , , ,Y,Y, , , , ,Y, , ,N,Y, , , , ,Y, , ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,B, ,L,d89ce5ee-4e47-4c7c-9dfb-cb02a63d0991,44.3833333334666,-64.3166666669331
1435,6420,6070,LOCKEPORT,CA,43.7,-65.116667,145,14068,V,CB,G,N,Y,N,Y, ,O,N,N, ,0, ,Y,N,N,N,Y,N,Y, , ,N,N,Y,Y, , , , , , , ,Y, , , , ,Y, , ,N, , , , , , , , , , , , , ,Y,Y, , , , , , ,2fb87286-668d-4715-a490-3d401cc781d9,43.7000000000001,-65.1166666662336
1436,6470,6070,DIGBY,CA,44.616667,-65.766667,145,14042,S,CN,E,Y,N,N,Y, ,J,J,B, ,7,M,N, ,Y,N,Y,N,Y, ,Y,Y,N,Y, , ,Y,Y,Y,Y, ,Y,Y, , , , ,Y, , ,N, ,Y, , , , , ,Y,Y, , , ,Y,Y,Y,Y, , ,C, , ,3adbe848-0988-495a-8ef9-3d87dd52de00,44.6166666669332,-65.7666666667332
1437,6480,6070,ANNAPOLIS ROYAL,CA,44.75,-65.516667,145,14042,V,RN,E,Y,N,N,Y, ,L,K,K, ,26,M,N,N,Y,N,Y,N,Y,Y, ,N,N,Y,Y, ,Y, , , , ,Y,Y, , , , ,Y, , ,N, , , , , , , ,Y, , , , , , , , , , , ,M,M,cc4a85c6-2dfa-4da3-b340-dc3234981e30,44.7499999997003,-65.5166666663335
1438,6500,6070,WINDSOR,CA,45.0,-64.15,145,14040,V,RN,E,Y,N,N,Y, ,M, ,M, ,0,M,N,N,Y,N,Y,N,Y, ,Y,N,N,Y,Y, , ,Y, , , ,Y,Y, , , , ,Y, , ,N, , , , , , , ,Y, , , , ,Y,Y,Y,Y, , ,C, , ,0eb1ef80-d7c9-4b5d-9474-04ebcbee2b18,45.0000000001,-64.1500000002997
1439,6550,6070,ST JOHN,CA,45.266667,-66.05,145,14044,M,CB,E,N,N,Y,Y,N,L,K,J,A,9,L,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y, ,N, ,Y,Y,Y,Y,Y, ,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,A,L, ,75723b12-d5dd-4ba7-9136-5e6da2a56aff,45.2666666665335,-66.0500000000999
1440,6575,6070,PORT BAYSIDE NB,CA,45.15,-67.133333,145,13398,V,RN, , , , , ,N, ,L, , ,0, , , , , , , ,Y, , , , , , , ,Y, , , , ,Y, ,Y, , , , , , , ,Y, , ,Y, , , ,Y, , , , , ,Y, , , , , , , ,edc9611f-eedd-4192-9b9e-f73a04090adc,45.1499999998002,-67.1333333336664
1441,6600,6585,EASTPORT,US,44.9,-66.983333,CP01,13396,V,CN,F,N,N,N,Y,N,H,H,M, ,18,L,N, ,Y,Y,Y,Y, , , ,N,Y,Y, , ,Y, , , ,Y,N,Y, , , , ,Y, , ,N,Y, , , , , ,Y, ,Y, , , ,Y,Y,Y,Y, , ,C, , ,123f613f-8562-4e1c-b530-db0c135f1791,44.9000000002998,-66.9833333330668
1442,6610,6585,LUBEC,US,44.866667,-66.983333,CP01,13396,V,CN,G,N,N,N,Y,N,J,A,J, ,18,M, ,N,Y,N,N,N,N, , ,N,N, , , ,Y, , , ,N,N,Y, , , , ,Y, , ,N,Y, , , , , ,Y, , , , , ,Y,Y, ,Y,N,N,C, ,S,d88fad95-7285-4ce6-86e2-f418ef68efbc,44.8666666664336,-66.9833333330668
1443,6620,6585,MACHIASPORT,US,44.7,-67.4,CP01,13326,V,CN,G,N,N,N,Y,N,M,K,P, ,13,M, , ,Y,N,N,N,N, , ,N,N, , , ,Y, , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y, , ,Y, , ,C, ,S,22336333-7b19-44a7-aac6-218cb441d60a,44.6999999998002,-67.4000000000999
1444,6630,6585,MACHIAS,US,44.716667,-67.466667,CP01,13326,V,RN,G,Y,N,Y,N,N,P,J,Q, ,13,M,Y,Y,N,N,N,N,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , ,Y, , ,N,Y, , , , , ,Y, , , , , ,Y,Y, ,Y, , ,C, ,S,b5dede9f-8f74-4b4e-a9ff-1be288da95d8,44.7166666667333,-67.4666666669331
1445,6640,6585,JONESPORT,US,44.533333,-67.616667,CP01,13326,V,CN,G,N,N,Y,Y,N,P,O,P, ,12,M,Y,Y,Y,N,Y,N,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , ,Y, , ,N, , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y,C, ,S,59ca857a-9a49-4924-a2a6-5cc03cea34bd,44.5333333331669,-67.6166666666333
1446,6650,6585,WYMAN,US,44.516667,-67.866667,CP01,13324,V,CN,G,N,N,Y,Y,N,P,P,P, ,11,M,Y,Y,N,N,Y,N,Y, , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , ,Y, ,N, , , , , , , , , , , , ,Y,Y,Y,Y, , , , , ,bc709b94-e7fe-46e5-b84d-185d0056e274,44.5166666662337,-67.866666667033
